scorer,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon,qsimeon
bodyparts,snout,snout,tailbase,tailbase,leftear,leftear,rightear,rightear,leftflank,leftflank,rightflank,rightflank,leftfrontpaw,leftfrontpaw,rightfrontpaw,rightfrontpaw,leftbackpaw,leftbackpaw,rightbackpaw,rightbackpaw
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Ms5111_Day3.00/img35323.png,,,,,501.6796247654783,172.24976201034733,477.3098482005798,204.74279743021202,428.5702950707828,126.0487272727272,427.55488771391197,217.4353893910967,,,,,,,,
labeled-data/Ms5111_Day3.00/img36013.png,,,576.2183819155264,259.79148126115405,453.48810232004746,204.40778108268884,,,514.631707317073,245.61325401546694,557.609458655562,176.05132659131465,,,,,,,,
labeled-data/Ms5111_Day3.00/img36194.png,746.3236096423898,127.58372073455004,548.3218756040704,187.7898154528399,,,,,617.0077019728237,127.58372073455004,627.1833799533797,198.3894800159191,711.9806964580132,101.72053920063681,728.9401597589399,154.7188620160328,,,,
labeled-data/Ms5111_Day3.00/img37952.png,,,349.88634669839377,395.76778467102906,196.8106032123736,401.7240392813801,207.53186151100536,360.0302570089232,267.09440761451515,432.6965632552052,274.2419131469363,352.882751476502,,,,,,,,
labeled-data/Ms5111_Day3.00/img38285.png,189.0530874479476,205.4908330755502,241.70083283759664,323.2698098750743,200.45105294467572,247.28337323022006,235.73046995835807,223.40192171326584,203.16485425342051,298.3028378346222,278.6085306365258,242.9412911362284,,,,,,,,
labeled-data/Ms5111_Day3.00/img38489.png,,,260.033376940133,215.39841995565408,155.4532771618625,174.63899645232814,171.54252328159643,135.4884975609756,183.3413037694013,218.07996097560974,229.46380931263855,137.63373037694012,,,,,,,,
labeled-data/Ms5111_Day3.00/img39720.png,,,,,481.3841054067882,130.54968241514587,504.8626999829437,158.50039024390244,421.56959065324907,168.56264506225483,490.3283319119903,211.60673511853997,,,,,,,,
labeled-data/Ms5111_Day3.00/img39865.png,,,,,477.8270254136106,129.45271840354764,508.2244328841888,157.58166263005285,420.2080590141564,172.09982739212006,489.6230342827902,213.83955108306324,,,,,,,,
labeled-data/Ms5111_Day3.00/img40624.png,,,,,,,,,528.5033995240926,227.37657673289706,486.32905580011885,141.21393901725165,,,,,,,,
labeled-data/Ms5111_Day3.00/img40705.png,,,,,492.47605227699125,211.47484414122465,460.57258988572397,183.97185932116665,543.0329657042321,206.3688552202834,474.01243162537344,149.007195141232,,,,,,,,
labeled-data/Ms5111_Day3.00/img41853.png,577.6461671789177,243.55531145811446,,,539.410153812175,206.91246531498598,520.6904389347072,239.57239339907875,548.5708653479571,179.03203890173606,463.7347106904967,200.53979642052886,,,,,,,,
labeled-data/Ms5111_Day3.00/img42136.png,,,,,503.908687518577,210.3602119508226,470.17337155854455,187.87000131080097,548.4874978943341,198.71349572652568,475.39431331426385,151.72501992505198,,,,,,,,
labeled-data/Ms5111_Day3.00/img43650.png,,,,,,,456.7928587419401,221.59662123307118,555.1908493904172,208.53762864700786,476.53319637203583,161.4645158367796,,,,,,,,
labeled-data/Ms5111_Day3.00/img43745.png,,,,,493.84550483483906,235.26446922642577,483.5000079404291,202.3469791078487,557.799485636646,193.88248164878604,485.38100737577633,163.78649068322983,,,,,,,,
labeled-data/Ms5111_Day3.00/img43814.png,,,,,,,,,560.0235064218564,196.50649444804637,477.51901837812295,162.15216663967215,,,426.9342994791782,211.65485946591218,,,,
labeled-data/Ms5111_Day3.00/img46636.png,,,553.6948305169103,128.00295911133838,526.5313293542868,206.66393122810226,491.4451403525648,223.07521318052062,549.1675803231396,157.43008537084717,456.9248576250641,168.18230458105228,,,,,,,,
